Claimant Address,Total Amount BILL,Number of Claims
0x0D3A21084AA6F74aEC25618460D32a5dd30C0f27,29750.00,1
0x0Ee33f1516286ae3B290BCC1180ffc2c65b7cA5F,29750.00,1
0xc940896d41FE8dc84F87a662A84801535f99dBB1,29750.00,1
0x48EC0f8634aF8cc55ce214ad41bFDf1de4d5e105,29750.00,1
0x182ae63A8dD7F3754Da0197e4a0ab666B824dD33,29750.00,1
0x533a78df3141c2E593f4e4bB0ae809a9C927DA13,29750.00,1
0xA534EEeA097D3Cfabbc155bAdAA7e09aEe07E343,25900.00,1
0x6eDf79ef071C0b42016c9ad1297e3742ED31482b,25765.00,1
0x695ED4801272fa829c5c5D9d2f52176c67d58010,25738.00,1
0xcaFd650401708ca4f65a22340D07f78E18f8C332,25121.00,1
0x3032d80C7e95F94Bc00D9C3c2Be35613143252e9,25025.00,1
0x8fD8A9Bc2f10B7A10C9c9fDa9AC0e4DCe499f3a0,25001.00,1
0x1826592ca79AAAc6a0c0d77bE1a0779eD6D31500,25001.00,1
0x3B7C640bE523Bd25F4840CB9a12F515b779A6d73,25001.00,1
0x5DC265193F3CC1cF281d1CA005CCb0339fefD425,25001.00,1
0x0403d6d288dB8908B5Ff21B60d347c6E450Eb828,25001.00,1
0x7B561bB86b6aCE103071141bD4EBfd7277f0e022,25001.00,1
0xabB3639Ac7eA3fbD7e9bFD4d8Fd46CAd6c3056F6,25001.00,1
0x0a771437eE59Dcd30429ddA71a1A011db8957BD1,25001.00,1
0x2245C733dD052343b60f44130A25C9F574A696d4,25001.00,1
0xBD2A95D30761333Cb573be00E4c76a0995c7D07a,25001.00,1
0x4061d70bca72b7858B3D4240be2cA8D6fB6B058b,25001.00,1
0x891F0acBdccB6AB697ADd35aBE921267952f717A,23859.00,1
0x0CCfA1c3441F3fEbDcEE067bd1Cbe3af7BBB614b,23711.00,1
0x5e3E063c2e7cf1390B04DffC12975AF9dC5dEdb2,20000.00,1
0x72c1dDB7cCACB7aD0244A3ab5637a1ad7A76a1Dc,19751.00,1
0xe9f9b3d9D72d0d83cDa3980FADA03b142270db96,18846.00,1
0x364F0436c3925AC5C44C1f50041CbE1D2aFdb41f,18343.00,1
0x161A83f70000FA507c7ae707f6da6a444C486d60,18310.00,1
0x713c9aa2bDc82feBc3b7F0e07F8a19A99bF6e047,18187.00,1
0xA0f5348dc71Bbc46A09BccbEC0154577f1173b60,18000.00,1
0x7c5D0273166E72DCcb8F0FE9887CF4a0EDbFC24F,18000.00,1
0x944B8A5c94055a761d518Ee11c6C370b139eFf28,17410.00,1
0xeEcA2eee9D6c895267Dec9fC1c8e1e62c99E79b6,16752.00,1
0x8b010A2C0cF9b8032aAE483A34cfc532fec10CCB,16145.00,1
0x52FB650367491De03B1BCe45750EE32f5a90D260,16066.00,1
0x17E0cC87c6836286477DeAb071FB44fa4933fe4d,16000.00,1
0xc3d507BF279391aeE3296BC76082b78d353e7D34,15721.00,1
0x87Dbfe27102C9Fbb9Db5591890775ff286C362b8,15444.00,1
0x2A82BbeF8c4Ed4b58dDA96096fF3393186f29727,15440.00,1
0x9B7E3336ad50d6315179E7049Dc91E5BE9CB0B00,15404.00,1
0xd1C7c163963C3c63f1f48dfa79a20300f2217Daf,15382.00,1
0x8bA1e4e38Fc83cC52d5F5D5C27e59ecf5ad5B044,15369.00,1
0x175109Cd3637D7CaDcb7f169B1d391F28B8dED34,15345.00,1
0x864B2c95efBE81a1f3072ad8dc6879037315Bf82,15258.00,1
